locationid,latitude,longitude,stationname,parentcity,sourceurl
1032,36.600136,109.484329,"University Hospital, Yanan",china,http://aqicn.org/city/china/yanan/yandayifuyuan/
1033,36.585552,109.49513,Yanan,yanan,http://aqicn.org/city/yanan/
1034,36.075353,103.714471,"Worker hospital, Lanzhou",china,http://aqicn.org/city/china/lanzhou/zhigongyiyuan/
1035,36.102721,103.633277,"Lanlian hotel, Lanzhou",china,http://aqicn.org/city/china/lanzhou/lanlianbinguan/
1036,36.072163,103.84339,"Biological Product Institute, Lanzhou",china,http://aqicn.org/city/china/lanzhou/shengwuzhipinsuo/
1037,36.046076,103.833409,"Railway Design Institute, Lanzhou",china,http://aqicn.org/city/china/lanzhou/tielushejiyuan/
1038,36.060928,103.83678,Lanzhou,lanzhou,http://aqicn.org/city/lanzhou/
1039,38.52488,102.19143,"Municipal Science and Technology Commission, Jinchang",china,http://aqicn.org/city/china/jinchang/shikewei/
1040,38.513125,102.18653,"Jinchuan Company No.2 Guest House, Jinchang",china,http://aqicn.org/city/china/jinchang/gongsierzhao/
1041,38.520527,102.190032,Jinchang,jinchang,http://aqicn.org/city/jinchang/
1042,39.81311,98.226468,"Jiuquan Refractories Company, Jiayuguan",china,http://aqicn.org/city/china/jiayuguan/jiugangnaicaigongsi/
1043,39.772669,98.291156,"Bureau of Meteorology, Jiayuguan",china,http://aqicn.org/city/china/jiayuguan/qixiangju/
1044,39.773962,98.289751,Jiayuguan,jiayuguan,http://aqicn.org/city/jiayuguan/
1045,38.601939,105.955167,"Helanshan Maliankou, Yinchuan",china,http://aqicn.org/city/china/yinchuan/helanshanmaliankou/
1046,38.486419,106.076569,"Ninghua living area, Yinchuan",china,http://aqicn.org/city/china/yinchuan/ninghuashenghuoqu/
1047,38.49796,106.237399,"Helanshan East Road, Yinchuan",china,http://aqicn.org/city/china/yinchuan/helanshandonglu/
1048,38.504209,106.140567,"College Road, Yinchuan",china,http://aqicn.org/city/china/yinchuan/xueyuanlu/
1049,38.474858,106.272608,"Yinhu Lane, Yinchuan",china,http://aqicn.org/city/china/yinchuan/yinhuxiang/
1050,38.487654,106.235308,Yinchuan,yinchuan,http://aqicn.org/city/yinchuan/
